Well,BUL2_g_exp,FAS1_g_exp,MKT1_g_exp,NCS2_g_exp,PMA1_g_exp,RHO5_g_exp,SCH9_g_exp,WHI2_g_exp,AKL1_g_exp,RPI1_g_exp
1B-G10,1,1,0,0,0,1,1,1,1,0
1B-H3,1,1,1,0,0,0,0,0,1,0
1B-H4,1,1,1,0,0,0,0,1,1,0
1B-H5,1,1,1,0,0,0,1,0,1,0
1B-H6,1,1,1,0,0,0,1,1,1,0
1B-H7,1,1,1,0,0,1,0,0,1,0
1B-H8,1,1,1,0,0,1,0,1,1,0
1B-H9,1,2,1,2,2,2,1,0,1,0
1B-H10,1,1,1,0,0,1,1,1,1,0
1C-A3,0,0,0,0,0,0,0,0,0,1
1C-A4,0,0,0,0,0,0,0,1,0,1
1C-A5,0,0,0,0,0,0,1,0,0,1
1C-A6,0,0,0,0,0,0,1,1,0,1
1C-A7,0,0,0,0,0,1,0,0,0,1
1C-A8,0,0,0,0,0,1,2,1,0,1
1C-A9,0,0,0,0,0,1,1,0,0,1
1C-A10,0,0,0,0,0,1,1,1,0,1
1C-B3,0,0,1,0,0,0,0,0,0,1
1C-B4,0,0,1,0,0,0,0,1,0,1
1C-B5,0,0,1,0,0,0,1,0,0,1
1C-B6,0,0,1,0,0,0,1,1,0,1
1C-B7,0,0,1,0,0,1,0,0,0,1
1C-B8,0,0,1,2,0,1,0,1,0,1
1C-B9,0,0,1,0,0,1,1,0,0,1
1C-B10,0,0,1,0,0,1,1,1,0,1
1C-C3,1,0,0,0,0,0,0,0,0,1
1C-C4,1,0,0,0,0,0,0,1,0,1
1C-C5,1,0,0,0,0,0,1,0,0,1
1C-C6,1,0,0,0,0,0,1,1,0,1
1C-C7,1,0,0,0,0,1,0,0,0,1
1C-C8,1,0,0,2,0,1,0,1,0,1
1C-C9,1,0,0,0,0,1,1,0,0,1
1C-C10,1,0,0,0,0,1,1,1,0,1
1C-D3,1,0,1,0,0,0,0,0,0,1
1C-D4,1,0,1,0,0,0,0,1,0,1
1C-D5,1,0,1,0,0,0,1,0,0,1
1C-D6,1,0,1,0,0,0,1,1,0,1
1C-D7,1,0,1,0,0,1,0,0,0,1
1C-D8,1,0,1,2,0,1,0,1,0,1
1C-D9,1,0,1,0,0,1,1,0,0,1
1C-D10,1,0,1,0,0,1,1,1,0,1
1C-E3,0,1,0,0,0,0,0,0,0,1
1C-E4,0,1,0,0,0,0,0,1,0,1
1C-E5,0,1,0,0,0,0,1,0,0,1
1C-E6,0,1,0,0,0,0,1,1,0,1
1C-E7,0,1,0,0,0,1,0,0,0,1
1C-E8,0,1,0,0,0,1,0,1,0,1
1C-E9,0,1,0,0,0,1,1,0,0,1
1C-E10,0,1,0,0,0,1,1,1,0,1
1C-F3,0,1,1,0,0,0,0,0,0,1
1C-F4,0,1,1,0,0,0,0,1,0,1
1C-F5,0,1,1,0,0,0,1,0,0,1
1C-F6,0,1,1,0,0,0,1,1,0,1
1C-F7,0,1,1,0,0,1,0,0,0,1
1C-F8,0,1,1,0,0,1,0,1,0,1
1C-F9,0,1,1,0,0,1,1,0,0,1
1C-F10,0,1,1,0,0,1,1,1,0,1
1C-G3,1,1,0,0,0,0,0,0,0,1
1C-G4,1,1,0,0,0,0,0,1,0,1
1C-G5,1,1,0,0,0,0,1,0,0,1
1C-G6,1,1,0,0,0,0,1,1,0,1
1C-G7,1,1,0,0,0,1,0,0,0,1
1C-G8,1,1,0,0,0,1,0,1,0,1
1C-G9,1,1,0,0,0,1,1,0,0,1
1C-G10,1,1,0,0,0,1,1,1,0,1
1C-H3,1,1,1,0,0,0,0,0,0,1
1C-H4,1,1,1,0,0,0,0,1,0,1
