Well,blank?
2B-D4,no
2B-D5,no
2B-D6,no
2B-D7,no
2B-D8,no
2B-D9,no
2B-E10,no
2B-E3,no
2B-E4,no
2B-E5,no
2B-E6,no
2B-E7,no
2B-E8,no
2B-E9,no
2B-F10,no
2B-F3,no
2B-F4,no
2B-F5,no
2B-F6,no
2B-F7,no
2B-F8,no
2B-F9,no
2B-G10,no
2B-G3,no
2B-G4,no
2B-G5,no
2B-G6,no
2B-G7,no
2B-G8,no
2B-G9,no
2B-H10,no
2B-H3,no
2B-H4,no
2B-H5,no
2B-H6,no
2B-H7,no
2B-H8,no
2B-H9,no
2C-A10,no
2C-A3,no
2C-A4,no
2C-A5,no
2C-A6,no
2C-A7,no
2C-A8,no
2C-A9,no
2C-B10,no
2C-B3,no
2C-B4,no
2C-B5,no
2C-B6,no
2C-B7,no
2C-B8,no
2C-B9,no
2C-C10,no
2C-C3,no
2C-C4,no
2C-C5,no
2C-C6,no
2C-C7,no
2C-C8,no
2C-C9,no
2C-D10,no
2C-D3,no
2C-D4,no
2C-D5,no
2C-D6,no
2C-D7,no
2C-D8,no
2C-D9,no
2C-E10,no
2C-E3,no
2C-E4,no
2C-E5,no
2C-E6,no
2C-E7,no
2C-E8,no
2C-E9,no
2C-F10,no
2C-F3,no
2C-F4,no
2C-F5,no
2C-F6,no
2C-F7,no
2C-F8,no
2C-F9,no
2C-G10,no
2C-G3,no
2C-G4,no
2C-G5,no
2C-G6,no
2C-G7,no
2C-G8,no
2C-G9,no
2C-H10,no
2C-H3,no
2C-H4,no
2C-H5,no
2C-H6,no
2C-H7,no
2C-H8,no
2C-H9,no
2D-A10,no
2D-A3,no
2D-A4,no
2D-A5,no
2D-A6,no
2D-A7,no
2D-A8,no
2D-A9,no
2D-B10,no
2D-B3,no
2D-B4,no
2D-B5,no
2D-B6,no
2D-B7,no
2D-B8,no
2D-B9,no
2D-C10,no
2D-C3,no
2D-C4,no
2D-C5,no
2D-C6,no
2D-C7,no
2D-C8,no
2D-C9,no
2D-D10,no
2D-D3,no
2D-D4,no
2D-D5,no
2D-D6,no
2D-D7,no
2D-D8,no
2D-D9,no
2D-E10,no
2D-E3,no
2D-E4,no
2D-E5,no
2D-E6,no
2D-E7,no
2D-E8,no
2D-E9,no
2D-F10,no
2D-F3,no
2D-F4,no
2D-F5,no
2D-F6,no
2D-F7,no
2D-F8,no
2D-F9,no
2D-G10,no
2D-G3,no
2D-G4,no
2D-G5,no
2D-G6,no
2D-G7,no
2D-G8,no
2D-G9,no
2D-H10,no
2D-H3,no
2D-H4,no
2D-H5,no
2D-H6,no
2D-H7,no
2D-H8,no
2D-H9,no
3A-A10,no
3A-A3,no
3A-A4,no
3A-A5,no
3A-A6,no
3A-A7,no
3A-A8,yes
3A-A9,no
3A-B10,no
3A-B3,no
3A-B4,no
3A-B5,no
3A-B6,no
3A-B7,no
3A-B8,yes
3A-B9,no
3A-C10,no
3A-C3,no
3A-C4,no
3A-C5,no
3A-C6,no
3A-C7,no
3A-C8,yes
3A-C9,no
3A-D10,no
3A-D3,no
3A-D4,no
3A-D5,no
3A-D6,no
3A-D7,no
3A-D8,no
3A-D9,no
3A-E10,no
3A-E3,no
3A-E4,no
3A-E5,no
3A-E6,no
3A-E7,no
3A-E8,no
3A-E9,no
3A-F10,no
3A-F3,no
3A-F4,no
3A-F5,no
3A-F6,yes
3A-F7,no
3A-F8,yes
3A-F9,no
3A-G10,no
3A-G3,no
3A-G4,no
3A-G5,no
3A-G6,yes
3A-G7,no
3A-G8,no
3A-G9,no
3A-H10,no
3A-H3,no
3A-H4,no
3A-H5,no
3A-H6,yes
3A-H7,no
3A-H8,no
3A-H9,no
3B-A10,no
3B-A3,no
3B-A4,no
3B-A5,no
3B-A6,no
3B-A7,no
3B-A8,yes
3B-A9,no
3B-B10,no
3B-B3,no
3B-B4,no
3B-B5,no
3B-B6,no
3B-B7,no
3B-B8,yes
3B-B9,no
3B-C10,no
3B-C3,no
3B-C4,no
3B-C5,no
3B-C6,no
3B-C7,no
3B-C8,yes
3B-C9,no
3B-D10,no
3B-D3,no
3B-D4,no
3B-D5,no
3B-D6,no
3B-D7,no
3B-D8,no
3B-D9,no
3B-E10,no
3B-E3,no
3B-E4,no
3B-E5,no
3B-E6,no
3B-E7,no
3B-E8,no
3B-E9,no
3B-F10,no
3B-F3,no
3B-F4,no
3B-F5,no
3B-F6,yes
3B-F7,no
3B-F8,yes
3B-F9,no
3B-G10,no
3B-G3,no
3B-G4,no
3B-G5,no
3B-G6,yes
3B-G7,no
3B-G8,no
3B-G9,no
3B-H10,no
3B-H3,no
3B-H4,no
3B-H5,no
3B-H6,yes
3B-H7,no
3B-H8,no
3B-H9,no
3C-A10,no
3C-A3,no
3C-A4,no
3C-A5,no
3C-A6,no
3C-A7,no
3C-A8,yes
3C-A9,no
3C-B10,no
3C-B3,no
3C-B4,no
3C-B5,no
3C-B6,no
3C-B7,no
3C-B8,yes
3C-B9,no
3C-C10,no
3C-C3,no
3C-C4,no
3C-C5,no
3C-C6,no
3C-C7,no
3C-C8,yes
3C-C9,no
3C-D10,no
3C-D3,no
3C-D4,no
3C-D5,no
3C-D6,no
3C-D7,no
3C-D8,no
3C-D9,no
3C-E10,no
3C-E3,no
3C-E4,no
3C-E5,no
3C-E6,no
3C-E7,no
3C-E8,no
3C-E9,no
3C-F10,no
3C-F3,no
3C-F4,no
3C-F5,no
3C-F6,yes
3C-F7,no
3C-F8,yes
3C-F9,no
3C-G10,no
3C-G3,no
3C-G4,no
3C-G5,no
3C-G6,yes
3C-G7,no
3C-G8,no
3C-G9,no
3C-H10,no
3C-H3,no
3C-H4,no
3C-H5,no
3C-H6,yes
3C-H7,no
3C-H8,no
3C-H9,no
3D-A10,no
3D-A3,no
3D-A4,no
3D-A5,no
3D-A6,no
3D-A7,no
3D-A8,yes
3D-A9,no
3D-B10,no
3D-B3,no
3D-B4,no
3D-B5,no
3D-B6,no
3D-B7,no
3D-B8,yes
3D-B9,no
3D-C10,no
3D-C3,no
3D-C4,no
3D-C5,no
3D-C6,no
3D-C7,no
3D-C8,yes
3D-C9,no
3D-D10,no
3D-D3,no
3D-D4,no
3D-D5,no
3D-D6,no
3D-D7,no
3D-D8,no
3D-D9,no
3D-E10,no
3D-E3,no
3D-E4,no
3D-E5,no
3D-E6,no
3D-E7,no
3D-E8,no
3D-E9,no
3D-F10,no
3D-F3,no
3D-F4,no
3D-F5,no
3D-F6,yes
3D-F7,no
3D-F8,yes
3D-F9,no
3D-G10,no
3D-G3,no
3D-G4,no
3D-G5,no
3D-G6,yes
3D-G7,no
3D-G8,no
3D-G9,no
3D-H10,no
3D-H3,no
3D-H4,no
3D-H5,no
3D-H6,yes
3D-H7,no
3D-H8,no
3D-H9,no
4A-A10,no
4A-A3,no
4A-A4,no
4A-A5,no
4A-A6,no
4A-A7,no
4A-A8,no
4A-A9,no
4A-B10,no
4A-B3,no
4A-B4,no
4A-B5,no
4A-B6,no
4A-B7,no
4A-B8,no
4A-B9,no
4A-C10,no
4A-C3,no
4A-C4,no
4A-C5,no
4A-C6,no
4A-C7,no
4A-C8,no
4A-C9,no
4A-D10,no
4A-D3,no
4A-D4,no
4A-D5,no
4A-D6,yes
4A-D7,no
4A-D8,no
4A-D9,yes
4A-E10,no
4A-E3,no
4A-E4,no
4A-E5,no
4A-E6,no
4A-E7,no
4A-E8,no
4A-E9,no
4A-F10,no
4A-F3,no
4A-F4,no
4A-F5,no
4A-F6,no
4A-F7,no
4A-F8,no
4A-F9,no
4A-G10,no
4A-G3,no
4A-G4,no
4A-G5,no
4A-G6,no
4A-G7,no
4A-G8,no
4A-G9,no
4A-H10,no
4A-H3,no
4A-H4,no
4A-H5,no
4A-H6,no
4A-H7,no
4A-H8,no
4A-H9,no
4B-A10,no
4B-A3,no
4B-A4,no
4B-A5,no
4B-A6,no
4B-A7,no
4B-A8,no
4B-A9,no
4B-B10,no
4B-B3,no
4B-B4,no
4B-B5,no
4B-B6,no
4B-B7,no
4B-B8,no
4B-B9,no
4B-C10,no
4B-C3,no
4B-C4,no
4B-C5,no
4B-C6,no
4B-C7,no
4B-C8,no
4B-C9,no
4B-D10,no
4B-D3,no
4B-D4,no
4B-D5,no
4B-D6,yes
4B-D7,no
4B-D8,no
4B-D9,yes
4B-E10,no
4B-E3,no
4B-E4,no
4B-E5,no
4B-E6,no
4B-E7,no
4B-E8,no
4B-E9,no
4B-F10,no
4B-F3,no
4B-F4,no
4B-F5,no
4B-F6,no
4B-F7,no
4B-F8,no
4B-F9,no
4B-G10,no
4B-G3,no
4B-G4,no
4B-G5,no
4B-G6,no
4B-G7,no
4B-G8,no
4B-G9,no
4B-H10,no
4B-H3,no
4B-H4,no
4B-H5,no
4B-H6,no
4B-H7,no
4B-H8,no
4B-H9,no
4C-A10,no
4C-A3,no
4C-A4,no
4C-A5,no
4C-A6,no
4C-A7,no
4C-A8,no
4C-A9,no
4C-B10,no
4C-B3,no
4C-B4,no
4C-B5,no
4C-B6,no
4C-B7,no
4C-B8,no
4C-B9,no
4C-C10,no
4C-C3,no
4C-C4,no
4C-C5,no
4C-C6,no
4C-C7,no
4C-C8,no
4C-C9,no
4C-D10,no
4C-D3,no
4C-D4,no
4C-D5,no
4C-D6,yes
4C-D7,no
4C-D8,no
4C-D9,yes
4C-E10,no
4C-E3,no
4C-E4,no
4C-E5,no
4C-E6,no
4C-E7,no
4C-E8,no
4C-E9,no
4C-F10,no
4C-F3,no
4C-F4,no
4C-F5,no
4C-F6,no
4C-F7,no
4C-F8,no
4C-F9,no
4C-G10,no
4C-G3,no
4C-G4,no
4C-G5,no
4C-G6,no
4C-G7,no
4C-G8,no
4C-G9,no
4C-H10,no
4C-H3,no
4C-H4,no
4C-H5,no
4C-H6,no
4C-H7,no
4C-H8,no
4C-H9,no
4D-A10,no
4D-A3,no
4D-A4,no
4D-A5,no
4D-A6,no
4D-A7,no
4D-A8,no
4D-A9,no
4D-B10,no
4D-B3,no
4D-B4,no
4D-B5,no
4D-B6,no
4D-B7,no
4D-B8,no
4D-B9,no
4D-C10,no
4D-C3,no
4D-C4,no
4D-C5,no
4D-C6,no
4D-C7,no
4D-C8,no
4D-C9,no
4D-D10,no
4D-D3,no
4D-D4,no
4D-D5,no
4D-D6,yes
4D-D7,no
4D-D8,no
4D-D9,yes
4D-E10,no
4D-E3,no
4D-E4,no
4D-E5,no
4D-E6,no
4D-E7,no
4D-E8,no
4D-E9,no
4D-F10,no
4D-F3,no
4D-F4,no
4D-F5,no
4D-F6,no
4D-F7,no
4D-F8,no
4D-F9,no
4D-G10,no
4D-G3,no
4D-G4,no
4D-G5,no
4D-G6,no
4D-G7,no
4D-G8,no
4D-G9,no
4D-H10,no
4D-H3,no
4D-H4,no
4D-H5,no
4D-H6,no
4D-H7,no
4D-H8,no
4D-H9,no
5E-A10,no
5E-A3,no
5E-A4,no
5E-A5,no
5E-A6,no
5E-A7,no
5E-A8,no
5E-A9,no
5E-B10,no
5E-B3,no
5E-B4,no
5E-B5,no
5E-B6,no
5E-B7,no
5E-B8,no
5E-B9,no
5E-C10,no
5E-C3,no
5E-C4,no
5E-C5,no
5E-C6,no
5E-C7,no
5E-C8,no
5E-C9,no
5E-D10,no
5E-D3,no
5E-D4,no
5E-D5,no
5E-D6,no
5E-D7,no
5E-D8,no
5E-D9,no
5E-E10,no
5E-E3,no
5E-E4,no
5E-E5,no
5E-E6,no
5E-E7,no
5E-E8,no
5E-E9,no
5E-F10,no
5E-F3,no
5E-F4,no
5E-F5,no
5E-F6,no
5E-F7,no
5E-F8,no
5E-F9,no
5E-G10,no
5E-G3,no
5E-G4,no
5E-G5,no
5E-G6,no
5E-G7,no
5E-G8,no
5E-G9,no
5E-H10,no
5E-H3,no
5E-H4,no
5E-H5,no
5E-H6,no
5E-H7,no
5E-H8,no
5E-H9,no
5F-A10,no
5F-A3,no
5F-A4,no
5F-A5,no
5F-A6,no
5F-A7,no
5F-A8,no
5F-A9,no
5F-B10,no
5F-B3,no
5F-B4,no
5F-B5,no
5F-B6,no
5F-B7,no
5F-B8,no
5F-B9,no
5F-C10,no
5F-C3,no
5F-C4,no
5F-C5,no
5F-C6,no
5F-C7,no
5F-C8,no
5F-C9,no
5F-D10,no
5F-D3,no
5F-D4,no
5F-D5,no
5F-D6,no
5F-D7,no
5F-D8,no
5F-D9,no
5F-E10,no
5F-E3,no
5F-E4,no
5F-E5,no
5F-E6,no
5F-E7,no
5F-E8,no
5F-E9,no
5F-F10,no
5F-F3,no
5F-F4,no
5F-F5,no
5F-F6,no
5F-F7,no
5F-F8,no
5F-F9,no
5F-G10,no
5F-G3,no
5F-G4,no
5F-G5,no
5F-G6,no
5F-G7,no
5F-G8,no
5F-G9,no
5F-H10,no
5F-H3,no
5F-H4,no
5F-H5,no
5F-H6,no
5F-H7,no
5F-H8,no
5F-H9,no
5G-A10,no
5G-A3,no
5G-A4,no
5G-A5,no
5G-A6,no
5G-A7,no
5G-A8,no
5G-A9,no
5G-B10,no
5G-B3,no
5G-B4,no
5G-B5,no
5G-B6,no
5G-B7,no
5G-B8,no
5G-B9,no
5G-C10,no
5G-C3,no
5G-C4,no
5G-C5,no
5G-C6,no
5G-C7,no
5G-C8,no
5G-C9,no
5G-D10,no
5G-D3,no
5G-D4,no
5G-D5,no
5G-D6,no
5G-D7,no
5G-D8,no
5G-D9,no
5G-E10,no
5G-E3,no
5G-E4,no
5G-E5,no
5G-E6,no
5G-E7,no
5G-E8,no
5G-E9,no
5G-F10,no
5G-F3,no
5G-F4,no
5G-F5,no
5G-F6,no
5G-F7,no
5G-F8,no
5G-F9,no
5G-G10,no
5G-G3,no
5G-G4,no
5G-G5,no
5G-G6,no
5G-G7,no
5G-G8,no
5G-G9,no
5G-H10,no
5G-H3,no
5G-H4,no
5G-H5,no
5G-H6,no
5G-H7,no
5G-H8,no
5G-H9,no
5H-A10,no
5H-A3,no
5H-A4,no
5H-A5,no
5H-A6,no
5H-A7,no
5H-A8,no
5H-A9,no
5H-B10,no
5H-B3,no
5H-B4,no
5H-B5,no
5H-B6,no
5H-B7,no
5H-B8,no
5H-B9,no
5H-C10,no
5H-C3,no
5H-C4,no
5H-C5,no
5H-C6,no
5H-C7,no
5H-C8,no
5H-C9,no
5H-D10,no
5H-D3,no
5H-D4,no
5H-D5,no
5H-D6,no
5H-D7,no
5H-D8,no
5H-D9,no
5H-E10,no
5H-E3,no
5H-E4,no
5H-E5,no
5H-E6,no
5H-E7,no
5H-E8,no
5H-E9,no
5H-F10,no
5H-F3,no
5H-F4,no
5H-F5,no
5H-F6,no
5H-F7,no
5H-F8,no
5H-F9,no
5H-G10,no
5H-G3,no
5H-G4,no
5H-G5,no
5H-G6,no
5H-G7,no
5H-G8,no
5H-G9,no
5H-H10,no
5H-H3,no
5H-H4,no
5H-H5,no
5H-H6,no
5H-H7,no
5H-H8,no
5H-H9,no
6E-A10,no
6E-A3,no
6E-A4,no
6E-A5,yes
6E-A6,no
6E-A7,yes
6E-A8,no
6E-A9,no
6E-B10,no
6E-B3,no
6E-B4,no
6E-B5,no
6E-B6,no
6E-B7,no
6E-B8,no
6E-B9,yes
6E-C10,no
6E-C3,no
6E-C4,no
6E-C5,no
6E-C6,no
6E-C7,yes
6E-C8,no
6E-C9,yes
6E-D10,no
6E-D3,no
6E-D4,no
6E-D5,no
6E-D6,no
6E-D7,no
6E-D8,no
6E-D9,no
6E-E10,no
6E-E3,no
6E-E4,no
6E-E5,no
6E-E6,no
6E-E7,no
6E-E8,no
6E-E9,no
6E-F10,no
6E-F3,no
6E-F4,no
6E-F5,no
6E-F6,no
6E-F7,no
6E-F8,no
6E-F9,yes
6E-G10,no
6E-G3,no
6E-G4,no
6E-G5,no
6E-G6,no
6E-G7,no
6E-G8,no
6E-G9,no
6E-H10,no
6E-H3,no
6E-H4,no
6E-H5,no
6E-H6,no
6E-H7,no
6E-H8,no
6E-H9,yes
6F-A10,no
6F-A3,no
6F-A4,no
6F-A5,yes
6F-A6,no
6F-A7,yes
6F-A8,no
6F-A9,no
6F-B10,no
6F-B3,no
6F-B4,no
6F-B5,no
6F-B6,no
6F-B7,no
6F-B8,no
6F-B9,yes
6F-C10,no
6F-C3,no
6F-C4,no
6F-C5,no
6F-C6,no
6F-C7,yes
6F-C8,no
6F-C9,yes
6F-D10,no
6F-D3,no
6F-D4,no
6F-D5,no
6F-D6,no
6F-D7,no
6F-D8,no
6F-D9,no
6F-E10,no
6F-E3,no
6F-E4,no
6F-E5,no
6F-E6,no
6F-E7,no
6F-E8,no
6F-E9,no
6F-F10,no
6F-F3,no
6F-F4,no
6F-F5,no
6F-F6,no
6F-F7,no
6F-F8,no
6F-F9,yes
6F-G10,no
6F-G3,no
6F-G4,no
6F-G5,no
6F-G6,no
6F-G7,no
6F-G8,no
6F-G9,no
6F-H10,no
6F-H3,no
6F-H4,no
6F-H5,no
6F-H6,no
6F-H7,no
6F-H8,no
6F-H9,yes
6G-A10,no
6G-A3,no
6G-A4,no
6G-A5,yes
6G-A6,no
6G-A7,yes
6G-A8,no
6G-A9,no
6G-B10,no
6G-B3,no
6G-B4,no
6G-B5,no
6G-B6,no
6G-B7,no
6G-B8,no
6G-B9,yes
6G-C10,no
6G-C3,no
6G-C4,no
6G-C5,no
6G-C6,no
6G-C7,yes
6G-C8,no
6G-C9,yes
6G-D10,no
6G-D3,no
6G-D4,no
6G-D5,no
6G-D6,no
6G-D7,no
6G-D8,no
6G-D9,no
6G-E10,no
6G-E3,no
6G-E4,no
6G-E5,no
6G-E6,no
6G-E7,no
6G-E8,no
6G-E9,no
6G-F10,no
6G-F3,no
6G-F4,no
6G-F5,no
6G-F6,no
6G-F7,no
6G-F8,no
6G-F9,yes
6G-G10,no
6G-G3,no
6G-G4,no
6G-G5,no
6G-G6,no
6G-G7,no
6G-G8,no
6G-G9,no
6G-H10,no
6G-H3,no
6G-H4,no
6G-H5,no
6G-H6,no
6G-H7,no
6G-H8,no
6G-H9,yes
6H-A10,no
6H-A3,no
6H-A4,no
6H-A5,yes
6H-A6,no
6H-A7,yes
6H-A8,no
6H-A9,no
6H-B10,no
6H-B3,no
6H-B4,no
6H-B5,no
6H-B6,no
6H-B7,no
6H-B8,no
6H-B9,yes
6H-C10,no
6H-C3,no
6H-C4,no
6H-C5,no
6H-C6,no
6H-C7,yes
6H-C8,no
6H-C9,yes
6H-D10,no
6H-D3,no
6H-D4,no
6H-D5,no
6H-D6,no
6H-D7,no
6H-D8,no
6H-D9,no
6H-E10,no
6H-E3,no
6H-E4,no
6H-E5,no
6H-E6,no
6H-E7,no
6H-E8,no
6H-E9,no
6H-F10,no
6H-F3,no
6H-F4,no
6H-F5,no
6H-F6,no
6H-F7,no
6H-F8,no
6H-F9,yes
6H-G10,no
6H-G3,no
6H-G4,no
6H-G5,no
6H-G6,no
6H-G7,no
6H-G8,no
6H-G9,no
6H-H10,no
6H-H3,no
6H-H4,no
6H-H5,no
6H-H6,no
6H-H7,no
6H-H8,no
6H-H9,yes
7E-A10,no
7E-A3,no
7E-A4,no
7E-A5,no
7E-A6,no
7E-A7,no
7E-A8,no
7E-A9,no
7E-B10,no
7E-B3,no
7E-B4,no
7E-B5,no
7E-B6,no
7E-B7,no
7E-B8,no
7E-B9,no
7E-C10,no
7E-C3,no
7E-C4,no
7E-C5,no
7E-C6,no
7E-C7,no
7E-C8,no
7E-C9,no
7E-D10,no
7E-D3,no
7E-D4,no
7E-D5,no
7E-D6,no
7E-D7,no
7E-D8,no
7E-D9,no
7E-E10,no
7E-E3,no
7E-E4,no
7E-E5,no
7E-E6,no
7E-E7,no
7E-E8,no
7E-E9,no
7E-F10,no
7E-F3,no
7E-F4,no
7E-F5,no
7E-F6,no
7E-F7,no
7E-F8,no
7E-F9,no
7E-G10,no
7E-G3,no
7E-G4,no
7E-G5,no
7E-G6,no
7E-G7,no
7E-G8,no
7E-G9,no
7E-H10,yes
7E-H3,yes
7E-H4,no
7E-H5,yes
7E-H6,no
7E-H7,yes
7E-H8,yes
7E-H9,yes
7F-A10,no
7F-A3,no
7F-A4,no
7F-A5,no
7F-A6,no
7F-A7,no
7F-A8,no
7F-A9,no
7F-B10,no
7F-B3,no
7F-B4,no
7F-B5,no
7F-B6,no
7F-B7,no
7F-B8,no
7F-B9,no
7F-C10,no
7F-C3,no
7F-C4,no
7F-C5,no
7F-C6,no
7F-C7,no
7F-C8,no
7F-C9,no
7F-D10,no
7F-D3,no
7F-D4,no
7F-D5,no
7F-D6,no
7F-D7,no
7F-D8,no
7F-D9,no
7F-E10,no
7F-E3,no
7F-E4,no
7F-E5,no
7F-E6,no
7F-E7,no
7F-E8,no
7F-E9,no
7F-F10,no
7F-F3,no
7F-F4,no
7F-F5,no
7F-F6,no
7F-F7,no
7F-F8,no
7F-F9,no
7F-G10,no
7F-G3,no
7F-G4,no
7F-G5,no
7F-G6,no
7F-G7,no
7F-G8,no
7F-G9,no
7F-H10,yes
7F-H3,yes
7F-H4,no
7F-H5,yes
7F-H6,no
7F-H7,yes
7F-H8,yes
7F-H9,yes
7G-A10,no
7G-A3,no
7G-A4,no
7G-A5,no
7G-A6,no
7G-A7,no
7G-A8,no
7G-A9,no
7G-B10,no
7G-B3,no
7G-B4,no
7G-B5,no
7G-B6,no
7G-B7,no
7G-B8,no
7G-B9,no
7G-C10,no
7G-C3,no
7G-C4,no
7G-C5,no
7G-C6,no
7G-C7,no
7G-C8,no
7G-C9,no
7G-D10,no
7G-D3,no
7G-D4,no
7G-D5,no
7G-D6,no
7G-D7,no
7G-D8,no
7G-D9,no
7G-E10,no
7G-E3,no
7G-E4,no
7G-E5,no
7G-E6,no
7G-E7,no
7G-E8,no
7G-E9,no
7G-F10,no
7G-F3,no
7G-F4,no
7G-F5,no
7G-F6,no
7G-F7,no
7G-F8,no
7G-F9,no
7G-G10,no
7G-G3,no
7G-G4,no
7G-G5,no
7G-G6,no
7G-G7,no
7G-G8,no
7G-G9,no
7G-H10,yes
7G-H3,yes
7G-H4,no
7G-H5,yes
7G-H6,no
7G-H7,yes
7G-H8,yes
7G-H9,yes
7H-A10,no
7H-A3,no
7H-A4,no
7H-A5,no
7H-A6,no
7H-A7,no
