Well,blank?
1A-A10,no
1A-A3,no
1A-A4,no
1A-A5,no
1A-A6,no
1A-A7,no
1A-A8,yes
1A-A9,no
1A-B10,no
1A-B3,no
1A-B4,no
1A-B5,no
1A-B6,no
1A-B7,no
1A-B8,yes
1A-B9,no
1A-C10,no
1A-C3,no
1A-C4,no
1A-C5,no
1A-C6,no
1A-C7,no
1A-C8,yes
1A-C9,no
1A-D10,no
1A-D3,no
1A-D4,no
1A-D5,no
1A-D6,no
1A-D7,no
1A-D8,yes
1A-D9,no
1A-E10,no
1A-E3,no
1A-E4,no
1A-E5,no
1A-E6,no
1A-E7,no
1A-E8,no
1A-E9,no
1A-F10,no
1A-F3,no
1A-F4,no
1A-F5,no
1A-F6,no
1A-F7,no
1A-F8,no
1A-F9,no
1A-G10,no
1A-G3,no
1A-G4,no
1A-G5,no
1A-G6,no
1A-G7,no
1A-G8,no
1A-G9,no
1A-H10,no
1A-H3,no
1A-H4,no
1A-H5,no
1A-H6,no
1A-H7,no
1A-H8,no
1A-H9,yes
1B-A10,no
1B-A3,no
1B-A4,no
1B-A5,no
1B-A6,no
1B-A7,no
1B-A8,yes
1B-A9,no
1B-B10,no
1B-B3,no
1B-B4,no
1B-B5,no
1B-B6,no
1B-B7,no
1B-B8,yes
1B-B9,no
1B-C10,no
1B-C3,no
1B-C4,no
1B-C5,no
1B-C6,no
1B-C7,no
1B-C8,yes
1B-C9,no
1B-D10,no
1B-D3,no
1B-D4,no
1B-D5,no
1B-D6,no
1B-D7,no
1B-D8,yes
1B-D9,no
1B-E10,no
1B-E3,no
1B-E4,no
1B-E5,no
1B-E6,no
1B-E7,no
1B-E8,no
1B-E9,no
1B-F10,no
1B-F3,no
1B-F4,no
1B-F5,no
1B-F6,no
1B-F7,no
1B-F8,no
1B-F9,no
1B-G10,no
1B-G3,no
1B-G4,no
1B-G5,no
1B-G6,no
1B-G7,no
1B-G8,no
1B-G9,no
1B-H10,no
1B-H3,no
1B-H4,no
1B-H5,no
1B-H6,no
1B-H7,no
1B-H8,no
1B-H9,yes
